mar 9/13:19:52.697 DEBUG2 : 		STLinkOpen
mar 9/13:19:52.942 DEBUG2 : 		ReadReg Index=0x09
mar 9/13:19:52.942 DEBUG2 : 		ReadReg Index=0x0A
mar 9/13:19:52.942 DEBUG2 : 		ReadReg Index=0x0B
mar 9/13:19:52.942 DEBUG2 : 		ReadReg Index=0x0C
mar 9/13:19:52.942 DEBUG2 : 		ReadReg Index=0x11
mar 9/13:19:52.942 DEBUG2 : 		ReadReg Index=0x12
mar 9/13:19:52.942 DEBUG2 : 		ReadReg Index=0x0E
mar 9/13:19:52.942 DEBUG2 : 		ReadReg Index=0x0F
mar 9/13:19:52.942 DEBUG2 : 		ReadReg Index=0x10
mar 9/13:19:52.942 DEBUG2 : 		ReadReg Index=0x14
mar 9/13:19:52.943 DEBUG2 : 		STLinkWriteReg Index=0x10 Data=0x41000000
mar 9/13:19:52.943 DEBUG2 : 		ReadReg Index=0x0F
mar 9/13:19:52.951 DEBUG2 : 		ReadTarget16 Address=0x200003A4 AP=0 Count=2 Data=0xF7FF
mar 9/13:19:52.953 DEBUG2 : 		ReadTarget32 Address=0xE000EDFC AP=0 Count=4 Data=0x01000000
mar 9/13:19:52.953 DEBUG2 : 		WriteTarget32 Address=0xE000EDFC AP=0 Count=4 Data=0x01000000
mar 9/13:19:52.954 DEBUG2 : 		WriteTarget32 Address=0xE0001028 AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.955 DEBUG2 : 		WriteTarget32 Address=0xE0001038 AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.955 DEBUG2 : 		WriteTarget32 Address=0xE0001048 AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.956 DEBUG2 : 		WriteTarget32 Address=0xE0001058 AP=0 Count=4 Data=0x00000000
mar 9/13:19:52.956 DEBUG2 : 		Go >
mar 9/13:19:52.961 DEBUG2 : 		Go <
mar 9/13:19:52.962 DEBUG2 : 		STLinkIsCpuHalted - Running
mar 9/13:19:52.978 DEBUG2 : 		STLinkIsCpuHalted - Running
mar 9/13:19:52.994 DEBUG2 : 		STLinkIsCpuHalted - Running
mar 9/13:19:53.010 DEBUG2 : 		STLinkIsCpuHalted - Running
mar 9/13:19:53.026 DEBUG2 : 		STLinkIsCpuHalted - Running
mar 9/13:19:53.042 DEBUG2 : 		STLinkIsCpuHalted - Running
mar 9/13:19:53.057 DEBUG2 : 		STLinkIsCpuHalted - Running
mar 9/13:19:53.073 DEBUG2 : 		STLinkIsCpuHalted - Running
mar 9/13:19:53.088 DEBUG2 : 		STLinkIsCpuHalted - Running
mar 9/13:19:53.103 DEBUG2 : 		STLinkIsCpuHalted - Running
mar 9/13:19:53.119 DEBUG2 : 		STLinkIsCpuHalted - Running
mar 9/13:19:53.135 DEBUG2 : 		STLinkIsCpuHalted - Running
mar 9/13:19:53.150 DEBUG2 : 		STLinkIsCpuHalted - Running
mar 9/13:19:53.166 DEBUG2 : 		STLinkIsCpuHalted - Running
mar 9/13:19:53.181 DEBUG2 : 		STLinkIsCpuHalted - Running
mar 9/13:19:53.197 DEBUG2 : 		STLinkIsCpuHalted - Running
mar 9/13:19:53.212 DEBUG2 : 		STLinkIsCpuHalted - Running
mar 9/13:19:53.227 DEBUG2 : 		STLinkIsCpuHalted - Running
mar 9/13:19:53.243 DEBUG2 : 		STLinkIsCpuHalted - Running
mar 9/13:19:53.258 DEBUG2 : 		STLinkIsCpuHalted - Running
mar 9/13:19:53.274 DEBUG2 : 		STLinkIsCpuHalted - Running
mar 9/13:19:53.290 DEBUG2 : 		STLinkIsCpuHalted - Running
mar 9/13:19:53.305 DEBUG2 : 		STLinkIsCpuHalted - Running
mar 9/13:19:53.320 DEBUG2 : 		STLinkIsCpuHalted - Running
mar 9/13:19:53.336 DEBUG2 : 		STLinkIsCpuHalted - Running
mar 9/13:19:53.352 DEBUG2 : 		STLinkIsCpuHalted - Running
mar 9/13:19:53.367 DEBUG2 : 		STLinkIsCpuHalted - Running
mar 9/13:19:53.383 DEBUG2 : 		STLinkIsCpuHalted - Running
mar 9/13:19:53.398 DEBUG2 : 		STLinkIsCpuHalted - Running
mar 9/13:19:53.413 DEBUG2 : 		STLinkIsCpuHalted - Running
mar 9/13:19:53.430 DEBUG2 : 		STLinkIsCpuHalted - Running
mar 9/13:19:53.445 DEBUG2 : 		STLinkIsCpuHalted - Running
mar 9/13:19:53.466 DEBUG2 : 		STLinkIsCpuHalted - Stopped
mar 9/13:19:53.467 DEBUG2 : 		ReadTarget32 Address=0xE000EDFC AP=0 Count=4 Data=0x01000000
mar 9/13:19:53.467 DEBUG2 : 		WriteTarget32 Address=0xE000EDFC AP=0 Count=4 Data=0x01000000
mar 9/13:19:53.467 DEBUG2 : 		WriteTarget32 Address=0xE0001028 AP=0 Count=4 Data=0x00000000
mar 9/13:19:53.467 DEBUG2 : 		WriteTarget32 Address=0xE0001038 AP=0 Count=4 Data=0x00000000
mar 9/13:19:53.468 DEBUG2 : 		WriteTarget32 Address=0xE0001048 AP=0 Count=4 Data=0x00000000
mar 9/13:19:53.468 DEBUG2 : 		WriteTarget32 Address=0xE0001058 AP=0 Count=4 Data=0x00000000
mar 9/13:19:53.469 DEBUG2 : 		ReadReg Index=0x0F
mar 9/13:19:53.476 DEBUG2 : 		ReadTarget16 Address=0x200000C0 AP=0 Count=2 Data=0xE7FE
mar 9/13:19:53.478 DEBUG2 : 		ReadTarget32 Address=0x2001EF84 AP=0 Count=20 Data=0x00000000 ...
mar 9/13:19:53.478 DEBUG2 : 		WriteTarget32 Address=0x20000400 AP=0 Count=30656 Data=0x20003078 ...
mar 9/13:19:53.822 DEBUG2 : 		WriteTarget32 Address=0x2001EF84 AP=0 Count=20 Data=0x08000000 ...
mar 9/13:19:53.823 DEBUG2 : 		STLinkWriteReg Index=0x0F Data=0x2000039C
